2/05/21 22:06
Archivo 1: 01_tra_moverse.md
                               	Segmentos	Palabras	Caracteres (sin espacios)	Caracteres (con espacios)	
Repeticiones en este archivo:  	        0	       0	                        0	                        0	
Repeticiones de otros archivos:	        0	       0	                        0	                        0	
Coincidencia exacta:           	        0	       0	                        0	                        0	
95%-100%:                      	        0	       0	                        0	                        0	
85%-94%:                       	        0	       0	                        0	                        0	
75%-84%:                       	        0	       0	                        0	                        0	
50%-74%:                       	        0	       0	                        0	                        0	
Sin coincidencia:              	       29	     597	                     2818	                     3397	
Total:                         	       29	     597	                     2818	                     3397	

Archivo 2: 02_tra_reabrir-proyecto.md
                               	Segmentos	Palabras	Caracteres (sin espacios)	Caracteres (con espacios)	
Repeticiones en este archivo:  	        0	       0	                        0	                        0	
Repeticiones de otros archivos:	        1	       5	                       20	                       25	
Coincidencia exacta:           	        0	       0	                        0	                        0	
95%-100%:                      	        0	       0	                        0	                        0	
85%-94%:                       	        0	       0	                        0	                        0	
75%-84%:                       	        0	       0	                        0	                        0	
50%-74%:                       	        0	       0	                        0	                        0	
Sin coincidencia:              	       14	     199	                      998	                     1186	
Total:                         	       15	     204	                     1018	                     1211	

Archivo 3: 03_tra_confirmar.md
                               	Segmentos	Palabras	Caracteres (sin espacios)	Caracteres (con espacios)	
Repeticiones en este archivo:  	        0	       0	                        0	                        0	
Repeticiones de otros archivos:	        0	       0	                        0	                        0	
Coincidencia exacta:           	        0	       0	                        0	                        0	
95%-100%:                      	        0	       0	                        0	                        0	
85%-94%:                       	        0	       0	                        0	                        0	
75%-84%:                       	        0	       0	                        0	                        0	
50%-74%:                       	        0	       0	                        0	                        0	
Sin coincidencia:              	       13	     267	                     1430	                     1686	
Total:                         	       13	     267	                     1430	                     1686	

Archivo 4: 04_tra_edición.md
                               	Segmentos	Palabras	Caracteres (sin espacios)	Caracteres (con espacios)	
Repeticiones en este archivo:  	        0	       0	                        0	                        0	
Repeticiones de otros archivos:	        0	       0	                        0	                        0	
Coincidencia exacta:           	        0	       0	                        0	                        0	
95%-100%:                      	        0	       0	                        0	                        0	
85%-94%:                       	        0	       0	                        0	                        0	
75%-84%:                       	        0	       0	                        0	                        0	
50%-74%:                       	        0	       0	                        0	                        0	
Sin coincidencia:              	       13	     195	                      968	                     1156	
Total:                         	       13	     195	                      968	                     1156	

Archivo 5: 05_tra_estadísticas.md
                               	Segmentos	Palabras	Caracteres (sin espacios)	Caracteres (con espacios)	
Repeticiones en este archivo:  	        0	       0	                        0	                        0	
Repeticiones de otros archivos:	        0	       0	                        0	                        0	
Coincidencia exacta:           	        0	       0	                        0	                        0	
95%-100%:                      	        0	       0	                        0	                        0	
85%-94%:                       	        0	       0	                        0	                        0	
75%-84%:                       	        0	       0	                        0	                        0	
50%-74%:                       	        0	       0	                        0	                        0	
Sin coincidencia:              	       13	     339	                     1729	                     2056	
Total:                         	       13	     339	                     1729	                     2056	

Archivo 6: 06_tra_exportar.md
                               	Segmentos	Palabras	Caracteres (sin espacios)	Caracteres (con espacios)	
Repeticiones en este archivo:  	        0	       0	                        0	                        0	
Repeticiones de otros archivos:	        0	       0	                        0	                        0	
Coincidencia exacta:           	        0	       0	                        0	                        0	
95%-100%:                      	        0	       0	                        0	                        0	
85%-94%:                       	        0	       0	                        0	                        0	
75%-84%:                       	        0	       0	                        0	                        0	
50%-74%:                       	        0	       0	                        0	                        0	
Sin coincidencia:              	       23	     447	                     2279	                     2718	
Total:                         	       23	     447	                     2279	                     2718	

Archivo 7: 07_tra_archivos.md
                               	Segmentos	Palabras	Caracteres (sin espacios)	Caracteres (con espacios)	
Repeticiones en este archivo:  	        0	       0	                        0	                        0	
Repeticiones de otros archivos:	        1	       5	                       20	                       25	
Coincidencia exacta:           	        0	       0	                        0	                        0	
95%-100%:                      	        0	       0	                        0	                        0	
85%-94%:                       	        0	       0	                        0	                        0	
75%-84%:                       	        0	       0	                        0	                        0	
50%-74%:                       	        0	       0	                        0	                        0	
Sin coincidencia:              	       10	     244	                     1151	                     1387	
Total:                         	       11	     249	                     1171	                     1412	

Archivo 8: 08_tra_propiedades-seg.md
                               	Segmentos	Palabras	Caracteres (sin espacios)	Caracteres (con espacios)	
Repeticiones en este archivo:  	        0	       0	                        0	                        0	
Repeticiones de otros archivos:	        0	       0	                        0	                        0	
Coincidencia exacta:           	        0	       0	                        0	                        0	
95%-100%:                      	        0	       0	                        0	                        0	
85%-94%:                       	        0	       0	                        0	                        0	
75%-84%:                       	        0	       0	                        0	                        0	
50%-74%:                       	        0	       0	                        0	                        0	
Sin coincidencia:              	        6	      97	                      489	                      583	
Total:                         	        6	      97	                      489	                      583	

Archivo 9: 09_tra_repeticiones.md
                               	Segmentos	Palabras	Caracteres (sin espacios)	Caracteres (con espacios)	
Repeticiones en este archivo:  	        4	      12	                       68	                       76	
